id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
106147,14184,10 out of 10: English,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133147,14192,10 out of 10: Maths Number,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7862,37643,15-in-1 Mega Collection: Backtracking Ten Years,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84724,46523,16 Tiles Mahjong,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126028,12494,1869,NULL,1992-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
100133,48607,"1999: Hore, Mita koto ka! Seikimatsu",NULL,1992-09-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152562,11871,1st Division Manager,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138932,70870,2 in 1: Block Buster/Cross High,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10132,69504,2 in 1: Hash Block & Eagle Plan,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152458,11874,3D World Boxing,NULL,1992-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
11967,12496,3D World Soccer,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152567,11875,3D World Tennis,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
191228,91814,3-Pun Yosou Umaban Club,NULL,1992-10-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69551,45948,3rd Degree,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65960,15886,3x3 Eyes: Seima Kourin-den,"Takumo Fujii lives in Tokyo and enjoys a life of an average teenager: he studies in school, works as a waiter on a part-time job, hangs around with friends, and so on. But one day, he meets a mysterious girl named Pai. Pai is the sole survivor of an ancient race called ""sanzhiyan"". Long ago, they discovered the secret of immortality, but as a result they lost their human form, and some of them mutated into horrible demons. Pai's dream is to become human again. Yakumo's father was her trusty friend, but he died, and wished his son would continue helping Pai.

At first Yakumo doesn't feel very enthusiastic about that, but through a bizarre accident his nature becomes inseparable from Pai's, and he becomes immortal himself. He has no choice but to help Pai. They travel around the world, from Hong-Kong to Mexico, seeking their lost humanity, and fighting the remains of the demonic race.",1992-07-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52388,143721,4 Queens Computer Casino,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32825,69787,4-in-1 Fun Pak,NULL,1992-09-01 00:00:00.000,NULL,NULL,NULL,NULL,58.0000,0
138991,195064,4-in-1: Hash Block/Jacky Lucky/Challenger Tank/Brain Power,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36272,12440,A Line in the Sand,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
101034,92583,A Ressha de Ikou MD,NULL,1992-04-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59363,46558,A Visit to Sesame Street: Numbers,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4545,2415,Abandoned Places: A Time for Heroes,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86556,12385,Aces of the Pacific,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25386,11111,Acid Drop,"Colored blocks drop relentlessly down to fill the screen. Using your joystick you must quickly spin, shift and align the colors of the blocks in order to clear them from the screen. It's challenging and the pace is demanding! But... satisfaction comes when you see the ""ACID DROP"" fall and dissolve your highest lines and give you a new lease on life. Need a tougher contest - start from a higher level! Pick your pace from the 30 progressive skill levels. Hours of addictive fun guaranteed!",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25843,204500,Adam & Eve,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1489,14210,ADI English: 11/12 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93982,14211,ADI English: 12/13 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25905,14212,ADI English: 13/14 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45913,14213,ADI French: 12/13 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125391,14215,ADI French: 14/15 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72874,14220,ADI Maths: 11/12 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58538,14222,ADI Maths: 13/14 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63297,6470,Advanced Busterhawk Gleylancer,NULL,1992-07-17 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
184069,48113,Advanced Dungeons & Dragons: DragonStrike,NULL,1992-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161830,141679,Adventure Island,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
